Age_numeric,gender_male,education_numeric,wealth_numeric,mobile_money_binary,transactional_account_binary,savings_frequency_numeric,runs_out_of_money,income_numeric,access_agents,urban,region_North East,region_North West,region_South East,region_South South,region_South West,year_2020,year_2023,Population
0.0057882047,-0.079295136,0.096414864,0.13024256,-0.0044679046,-0.10315222,-0.08207426,0.22115149,-0.13952796,-1.4483019,0.12670495,-0.012524128,0.0031114104,-0.07645488,-0.015068073,-0.31109476,0.0,0.24941994,0.010576168
0.116974875,0.23738877,-0.40417346,1.1712724,-0.009728851,0.44265077,-0.14309262,-0.058184635,-0.059590224,1.0855454,0.29120237,-0.0075215027,-0.0055407155,-0.04074429,-0.03091929,-0.39239082,0.0,-0.6406448,-0.100340575
-0.103272125,-0.16196722,-0.24291667,-0.20894095,-0.0045592003,-0.17925215,-0.075057395,-0.33458734,-0.07625905,-1.6867119,0.09154126,-0.0038386367,-0.025688045,-0.012906242,-0.03775509,-0.31111205,0.0,0.077037334,-0.09678815
-0.12768458,0.14748608,0.9343766,1.0706328,-0.0035111813,0.5634584,0.45003396,0.07658103,0.08861467,1.3821988,0.31867585,-0.007507883,-0.027841382,-0.023921866,-0.022698548,-0.13002513,0.0,-0.21404612,-0.04303492
-0.05565733,-0.14372236,1.377814,0.41576043,-0.0042241043,0.3564369,-0.02577383,0.085321255,-0.12923369,1.3982738,0.2819587,-0.0072055524,-0.005409387,-0.064963914,-0.039259035,-0.11960185,0.0,-0.27358982,-0.21021909
-0.021357639,-0.26474667,-0.4280325,-0.27096474,-0.02012615,0.2961312,-0.19575045,0.16258007,-0.24364209,0.88664854,0.13637772,-0.03352527,-0.026980601,-0.032070644,-0.028135393,-0.33628893,0.0,-0.9451134,0.07754896
0.256756,0.14853485,-0.24047704,-0.09578987,-0.004182725,-0.24178815,-0.30258876,-0.13887529,-0.0010332726,-1.8393172,-0.104255535,-0.0034375996,-0.045407202,-0.026013797,-0.020353492,0.0047036717,0.0,0.12642275,0.065002285
0.29755223,0.13063383,-0.42338154,-0.4683202,-0.01939232,0.23821089,-0.20919512,-0.09751163,0.0124036195,0.91483873,-0.10059439,-0.007941839,-0.03416471,-0.105097115,-0.00439374,0.04272943,0.0,-0.94165725,-0.09956222
-0.010704156,-0.11856758,-0.17082952,0.29756945,-0.0043672267,-0.1267498,-0.15159006,-0.123856984,-0.08723604,-1.6926345,-0.046934705,0.0004888777,-0.041968167,-0.048787106,-0.011600384,0.023236986,0.0,0.21140224,-0.35168993
-0.13192093,0.09268462,0.58472013,0.6560282,0.13206117,0.23977064,0.283553,-0.04803062,0.2136013,7.4164987,-0.06410477,0.00020479324,-0.034812436,-0.04722123,-0.0127948765,-0.08252321,0.0,-0.14411819,0.109971784
0.03077088,0.08227115,-0.1798119,0.30189708,-0.004080926,-0.13707149,-0.1339269,-0.24437408,-0.09774498,-1.7084614,-0.07941957,0.0022660065,-0.018513473,-0.07750742,-0.015780095,0.054619912,0.0,0.21210892,-0.23825154
0.02897961,-0.25470307,1.0799633,0.5918635,-0.0042545204,0.32921994,-0.86356455,0.16386056,0.13556555,1.2389371,-0.10270514,-0.0068815458,-0.015441651,-0.10635928,-0.011248572,0.06785115,0.0,-0.39405766,0.13875805
0.105656266,-0.14952642,-0.23768148,-0.1604889,-0.0043451246,-0.17969315,-0.15103154,-0.15535693,-0.030165382,-1.7581983,-0.07792778,-0.00415495,-0.045093376,-0.020011572,-0.023395246,0.0073456326,0.0,0.117961556,-0.26966238
-0.03895662,-0.15733424,-0.42379612,0.22120745,-0.016365236,0.26299688,-0.018984834,-0.13208689,-0.25097466,1.0564604,-0.06416654,-0.008548557,-0.03222475,-0.051386684,-0.008749955,0.05169595,0.0,-0.75095254,-0.45587164
0.23315388,0.08290042,-0.17149672,0.28239143,-0.003986755,-0.16985467,-0.15116863,-0.21158123,-0.03214668,-1.7481421,-0.07090911,-0.01003652,-0.037984055,-0.07087376,-0.01394617,0.058823124,0.0,0.2274186,-0.19678085
-0.0015817753,0.12076389,1.1151261,0.036511037,-0.0064275083,0.34423003,-0.053966157,-0.14676033,-0.025955286,1.4231732,-0.14502001,-0.01480487,-0.024117354,-0.092114374,-0.013674484,0.02605788,0.0,-0.33456117,-0.27503803
-0.10626985,0.113374926,-0.25765842,-0.127848,-0.0046991054,-0.18148057,0.017897151,-0.13108979,-0.040577214,-1.5659965,-0.07578326,0.009739953,-0.054509155,-0.04812983,-0.01942093,-0.38690534,0.0,0.10024154,0.061783265
0.12737039,0.2110306,-0.052761726,0.9579519,-0.008104177,0.42907786,-0.1987708,0.001536916,0.5144092,1.1921973,-0.130973,-0.0052383393,-0.03188396,-0.06943976,-0.014034695,0.040424857,0.0,-0.5028562,0.052219234
-0.14958186,-0.14432974,-0.15495676,-0.21609159,-0.0043451246,-0.17714797,-0.16614963,-0.1475288,-0.052788388,-1.737348,-0.0898498,-0.004080595,-0.045093376,-0.020011572,-0.027054586,0.005644601,0.0,0.11878449,-0.30722195
0.0064436896,0.06005343,-0.2112126,-0.08988386,-0.0043945126,-0.18316825,-0.016459536,0.24008118,-0.07961284,-1.5642332,-0.07909937,0.0006139348,-0.017760592,-0.056776524,-0.024144966,-0.30761272,0.0,0.15962282,0.005928859
